n,session,participant,kind,detail,extra,screen,msIntoSession,time
"1","S202609191109","","session","started","","home","100","2026-09-19T11:09:36.714Z"
"2","S202609191109","","tap","tab · requests","▤Requests","home","41874","2026-09-19T11:10:18.488Z"
"3","S202609191109","","screen","requests","","requests","41878","2026-09-19T11:10:18.492Z"
"4","S202609191109","","tap","tab · bills","₹Bills","requests","43279","2026-09-19T11:10:19.893Z"
"5","S202609191109","","screen","bills","","bills","43283","2026-09-19T11:10:19.897Z"
"6","S202609191109","","tap","tab · help","?Help","bills","46930","2026-09-19T11:10:23.544Z"
"7","S202609191109","","screen","help","","help","46940","2026-09-19T11:10:23.554Z"
"8","S202609191109","","tap","fail","","help","49453","2026-09-19T11:10:26.067Z"
"9","S202609191109","","tap","fail","","help","50748","2026-09-19T11:10:27.362Z"
"10","S202609191109","","tap","reset","Reset demo data","help","51928","2026-09-19T11:10:28.542Z"
"11","S202609191109","","screen","help","","help","51930","2026-09-19T11:10:28.544Z"
"12","S202609191109","","tap","tab · home","⌂Home","help","54016","2026-09-19T11:10:30.630Z"
"13","S202609191109","","screen","home","","home","54019","2026-09-19T11:10:30.633Z"
"14","S202609191109","","tap","tab · bills","₹Bills","home","107553","2026-09-19T11:11:24.167Z"
"15","S202609191109","","screen","bills","","bills","107555","2026-09-19T11:11:24.169Z"
"16","S202609191109","","tap","tab · help","?Help","bills","111546","2026-09-19T11:11:28.160Z"
"17","S202609191109","","screen","help","","help","111549","2026-09-19T11:11:28.163Z"
"18","S202609191109","","session","ended","","help","122874","2026-09-19T11:11:39.488Z"
"19","S202609191111","","session","started","","home","1","2026-09-19T11:11:39.552Z"
"20","S202609191111","","session","ended","","home","1805","2026-09-19T11:11:41.356Z"
"21","S202609191111","","session","started","","home","1","2026-09-19T11:11:41.413Z"
"22","S202609191111","","tap","open · r1","Annual FestIn review₹10,00,000With Bangalo","home","9742","2026-09-19T11:11:51.154Z"
"23","S202609191111","","screen","track · r1","","track","9754","2026-09-19T11:11:51.166Z"
"24","S202609191111","","tap","go · tab","‹","track","11552","2026-09-19T11:11:52.964Z"
"25","S202609191111","","screen","requests","","requests","11556","2026-09-19T11:11:52.968Z"
"26","S202609191111","","tap","tab · bills","₹Bills","requests","14531","2026-09-19T11:11:55.943Z"
"27","S202609191111","","screen","bills","","bills","14535","2026-09-19T11:11:55.947Z"
"28","S202609191111","","tap","tab · help","?Help","bills","15958","2026-09-19T11:11:57.370Z"
"29","S202609191111","","screen","help","","help","15964","2026-09-19T11:11:57.376Z"
"30","S202609191111","","tap","tab · home","⌂Home","help","18561","2026-09-19T11:11:59.973Z"
"31","S202609191111","","screen","home","","home","18565","2026-09-19T11:11:59.977Z"
"32","S202609191111","","tap","tab · requests","▤Requests","home","20025","2026-09-19T11:12:01.437Z"
"33","S202609191111","","screen","requests","","requests","20027","2026-09-19T11:12:01.439Z"
"34","S202609191111","","tap","new","New request","requests","22217","2026-09-19T11:12:03.629Z"
"35","S202609191111","","screen","form","","form","22236","2026-09-19T11:12:03.648Z"
"36","S202609191111","","field","name = k","","form","26052","2026-09-19T11:12:07.464Z"
"37","S202609191111","","field","name = k","","form","26053","2026-09-19T11:12:07.465Z"
"38","S202609191111","","field","amount = 1000000","","form","28777","2026-09-19T11:12:10.189Z"
"39","S202609191111","","field","amount = 1000000","","form","28778","2026-09-19T11:12:10.190Z"
"40","S202609191111","","field","date = 2026-09-09","","form","31730","2026-09-19T11:12:13.142Z"
"41","S202609191111","","field","date = 2026-09-09","","form","32785","2026-09-19T11:12:14.197Z"
"42","S202609191111","","field","purpose = mazaa","","form","39401","2026-09-19T11:12:20.813Z"
"43","S202609191111","","field","purpose = mazaa","","form","39402","2026-09-19T11:12:20.814Z"
"44","S202609191111","","tap","review","Continue","form","39619","2026-09-19T11:12:21.031Z"
"45","S202609191111","","error","validation: file","","form","39620","2026-09-19T11:12:21.032Z"
"46","S202609191111","","field","attached a file","","form","50779","2026-09-19T11:12:32.191Z"
"47","S202609191111","","tap","review","Continue","form","52533","2026-09-19T11:12:33.945Z"
"48","S202609191111","","screen","review","","review","52537","2026-09-19T11:12:33.949Z"
"49","S202609191111","","tap","send","Submit request","review","55338","2026-09-19T11:12:36.750Z"
"50","S202609191111","","screen","sending","","sending","55341","2026-09-19T11:12:36.753Z"
"51","S202609191111","","screen","submitted · r1789816358459","","submitted","57069","2026-09-19T11:12:38.481Z"
"52","S202609191111","","tap","open · r1789816358459","Track this request","submitted","61613","2026-09-19T11:12:43.025Z"
"53","S202609191111","","screen","track · r1789816358459","","track","61615","2026-09-19T11:12:43.027Z"
"54","S202609191111","","tap","go · tab","‹","track","93531","2026-09-19T11:13:14.943Z"
"55","S202609191111","","screen","requests","","requests","93533","2026-09-19T11:13:14.945Z"
"56","S202609191111","","tap","tab · home","⌂Home","requests","95774","2026-09-19T11:13:17.186Z"
"57","S202609191111","","screen","home","","home","95776","2026-09-19T11:13:17.188Z"
"58","S202609191111","","session","ended","","home","4513781","2026-09-19T12:26:55.193Z"
"59","S202609201833","","session","started","","home","171","2026-09-20T18:33:04.481Z"
"60","S202609201833","","tap","new","New request","home","37410390","2026-09-21T04:56:34.700Z"
"61","S202609201833","","screen","form","","form","37410444","2026-09-21T04:56:34.754Z"
"62","S202609201833","","field","name = rghj","","form","37414684","2026-09-21T04:56:38.994Z"
"63","S202609201833","","field","name = rghj","","form","37414684","2026-09-21T04:56:38.994Z"
"64","S202609201833","","field","amount = 100000","","form","37419346","2026-09-21T04:56:43.656Z"
"65","S202609201833","","field","amount = 100000","","form","37419347","2026-09-21T04:56:43.657Z"
"66","S202609201833","","field","date = 2026-09-30","","form","37421174","2026-09-21T04:56:45.484Z"
"67","S202609201833","","field","date = 2026-09-30","","form","37421785","2026-09-21T04:56:46.095Z"
"68","S202609201833","","field","purpose = fhgjhkjlkl","","form","37424222","2026-09-21T04:56:48.532Z"
"69","S202609201833","","field","purpose = fhgjhkjlkl","","form","37424222","2026-09-21T04:56:48.532Z"
"70","S202609201833","","field","attached a file","","form","37430046","2026-09-21T04:56:54.356Z"
"71","S202609201833","","tap","review","Continue","form","37430903","2026-09-21T04:56:55.213Z"
"72","S202609201833","","screen","review","","review","37430910","2026-09-21T04:56:55.220Z"
"73","S202609201833","","tap","send","Submit request","review","37432119","2026-09-21T04:56:56.429Z"
"74","S202609201833","","screen","sending","","sending","37432123","2026-09-21T04:56:56.433Z"
"75","S202609201833","","screen","submitted · r1789966618143","","submitted","37433850","2026-09-21T04:56:58.160Z"
"76","S202609201833","","tap","tab · home","Go home","submitted","37436054","2026-09-21T04:57:00.364Z"
"77","S202609201833","","screen","home","","home","37436057","2026-09-21T04:57:00.367Z"
"78","S202609201833","","session","ended","","home","38266801","2026-09-21T05:10:51.111Z"
"79","S202609210511","","session","started","","home","101","2026-09-21T05:11:57.923Z"
"80","S202609210511","","tap","new","New request","home","2293","2026-09-21T05:12:00.115Z"
"81","S202609210511","","screen","form","","form","2302","2026-09-21T05:12:00.124Z"
"82","S202609210511","","field","name = 1000","","form","6289","2026-09-21T05:12:04.111Z"
"83","S202609210511","","field","name = 1000","","form","6290","2026-09-21T05:12:04.112Z"
"84","S202609210511","","field","name = Ksisnoed","","form","12754","2026-09-21T05:12:10.576Z"
"85","S202609210511","","field","name = Ksisnoed","","form","12756","2026-09-21T05:12:10.578Z"
"86","S202609210511","","field","amount = 5000","","form","15622","2026-09-21T05:12:13.444Z"
"87","S202609210511","","field","amount = 5000","","form","15623","2026-09-21T05:12:13.445Z"
"88","S202609210511","","field","date = 2026-09-30","","form","16817","2026-09-21T05:12:14.639Z"
"89","S202609210511","","field","date = 2026-09-30","","form","17366","2026-09-21T05:12:15.188Z"
"90","S202609210511","","field","purpose = ygkhkjllm","","form","19507","2026-09-21T05:12:17.329Z"
"91","S202609210511","","field","purpose = ygkhkjllm","","form","19507","2026-09-21T05:12:17.329Z"
"92","S202609210511","","field","attached a file","","form","26506","2026-09-21T05:12:24.328Z"
"93","S202609210511","","tap","review","Continue","form","27622","2026-09-21T05:12:25.444Z"
"94","S202609210511","","screen","review","","review","27628","2026-09-21T05:12:25.450Z"
"95","S202609210511","","tap","send","Submit request","review","28876","2026-09-21T05:12:26.698Z"
"96","S202609210511","","screen","sending","","sending","28879","2026-09-21T05:12:26.701Z"
"97","S202609210511","","screen","submitted · r1789967548409","","submitted","30603","2026-09-21T05:12:28.425Z"
"98","S202609210511","","tap","tab · home","Go home","submitted","32349","2026-09-21T05:12:30.171Z"
"99","S202609210511","","screen","home","","home","32353","2026-09-21T05:12:30.175Z"
"100","S202609210511","","session","ended","","home","47198","2026-09-21T05:12:45.020Z"
"101","S202609210517","","session","started","","home","101","2026-09-21T05:17:28.557Z"
"102","S202609210517","","tap","new","New request","home","4550","2026-09-21T05:17:33.006Z"
"103","S202609210517","","screen","form","","form","4582","2026-09-21T05:17:33.038Z"
"104","S202609210517","","field","name = jamrang","","form","15607","2026-09-21T05:17:44.063Z"
"105","S202609210517","","field","name = jamrang","","form","15608","2026-09-21T05:17:44.064Z"
"106","S202609210517","","field","amount = 41000","","form","19676","2026-09-21T05:17:48.132Z"
"107","S202609210517","","field","amount = 41000","","form","19676","2026-09-21T05:17:48.132Z"
"108","S202609210517","","field","date = 2026-09-24","","form","21375","2026-09-21T05:17:49.831Z"
"109","S202609210517","","field","date = 2026-09-24","","form","22855","2026-09-21T05:17:51.311Z"
"110","S202609210517","","field","purpose = for fun","","form","28853","2026-09-21T05:17:57.309Z"
"111","S202609210517","","field","purpose = for fun","","form","28854","2026-09-21T05:17:57.310Z"
"112","S202609210517","","field","attached a file","","form","35863","2026-09-21T05:18:04.319Z"
"113","S202609210517","","tap","review","Continue","form","41093","2026-09-21T05:18:09.549Z"
"114","S202609210517","","screen","review","","review","41100","2026-09-21T05:18:09.556Z"
"115","S202609210517","","tap","send","Submit request","review","45375","2026-09-21T05:18:13.831Z"
"116","S202609210517","","screen","sending","","sending","45378","2026-09-21T05:18:13.834Z"
"117","S202609210517","","screen","submitted · r1789967895536","","submitted","47099","2026-09-21T05:18:15.555Z"
"118","S202609210517","","tap","tab · home","Go home","submitted","51756","2026-09-21T05:18:20.212Z"
"119","S202609210517","","screen","home","","home","51759","2026-09-21T05:18:20.215Z"
